#FILE:                       ,sws-10k.dsv          
#FORMAT:                     ,NETZSCH5             
#IDENTITY:                   ,1                    
#DECIMAL:                    ,POINT                
#SEPARATOR:                  ,COMMA                
#MTYPE:                      ,DTA                  
#MSUBTYPE:                   ,                     
#INSTRUMENT:                 ,NETZSCH STA 409 PC/PG
#PROJECT:                    ,                     
#DATE/TIME:                  ,2002-1-2 15:27:37    
#CORR. FILE:                 ,10k.bsv              
#LABORATORY:                 ,                     
#OPERATOR:                   ,1                    
#REMARK:                     ,                     
#SAMPLE:                     ,1                    
#SAMPLE MASS /mg:            ,29.908               
#MATERIAL:                   ,                     
#REFERENCE:                  ,yes                  
#REFERENCE MASS /mg:         ,0.000                
#TYPE OF CRUCIBLE:           ,DTA/TG crucible Al2O3
#SAMPLE CRUCIBLE MASS /mg:   ,0.000                
#REFERENCE CRUCIBLE MASS /mg:,0.000                
#GAS 1:                      ,                     
#FLOW RATE 1:                ,                     
#GAS 2:                      ,air                  
#FLOW RATE 2 /(ml/min):      ,50                   
#CORR. CODE:                 ,820                  
#EXO:                        ,+1                   
#RANGE:                      ,30/10.0(K/min)/1000  
#SEGMENT:                    ,S1/1                 

##Temp./°„C,Time/min,DTA/(uV/mg),Mass/%,DTG/(%/min),Sensit./(¶ÃV/mW)
617.61400,   58.74438,     0.21373, 88.71371,    -0.95650,1.00000
620.11400,   58.99641,     0.20258, 88.46838,    -0.98937,1.00000
622.61400,   59.24872,     0.19165, 88.21509,    -1.01725,1.00000
625.11400,   59.50045,     0.18125, 87.95607,    -1.03938,1.00000
627.61400,   59.75305,     0.17159, 87.69135,    -1.05522,1.00000
630.11400,   60.00451,     0.16301, 87.42470,    -1.06415,1.00000
632.61400,   60.25653,     0.15568, 87.15609,    -1.06603,1.00000
635.11400,   60.50853,     0.14976, 86.88791,    -1.06099,1.00000
637.61400,   60.76027,     0.14533, 86.62210,    -1.04962,1.00000
640.11400,   61.01189,     0.14240, 86.35996,    -1.03307,1.00000
642.61400,   61.26298,     0.14089, 86.10301,    -1.01310,1.00000
645.11400,   61.51498,     0.14067, 85.85039,    -0.99184,1.00000
647.61400,   61.76681,     0.14159, 85.60320,    -0.97182,1.00000
650.11400,   62.01861,     0.14340, 85.36072,    -0.95488,1.00000
652.61400,   62.27024,     0.14587, 85.12220,    -0.94155,1.00000
655.11400,   62.52205,     0.14871, 84.88653,    -0.93057,1.00000
657.61400,   62.77368,     0.15166, 84.65375,    -0.91913,1.00000
660.11400,   63.02547,     0.15446, 84.42412,    -0.90362,1.00000
662.61400,   63.27682,     0.15695, 84.19965,    -0.88071,1.00000
665.11400,   63.52779,     0.15901, 83.98243,    -0.84822,1.00000
667.61400,   63.77867,     0.16062, 83.77472,    -0.80555,1.00000
670.11400,   64.03055,     0.16182, 83.57815,    -0.75360,1.00000
672.61400,   64.28179,     0.16266, 83.39603,    -0.69520,1.00000
675.11400,   64.53319,     0.16319, 83.22897,    -0.63352,1.00000
677.61400,   64.78413,     0.16345, 83.07772,    -0.57232,1.00000
680.11400,   65.03565,     0.16345, 82.94116,    -0.51462,1.00000
